actor_1,actor_2,movie_title,year,genre,director,page_id
גילה אלמגור,אבנר חזקיהו,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
גילה אלמגור,עודד תאומי,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
גילה אלמגור,גדעון זינגר,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
גילה אלמגור,שושנה דואר,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
גילה אלמגור,רות שרון,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
נתן כוגן,עמנואל בן עמוס,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
נתן כוגן,אבנר חזקיהו,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
נתן כוגן,עודד תאומי,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
נתן כוגן,גדעון זינגר,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
נתן כוגן,שושנה דואר,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
נתן כוגן,רות שרון,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
עמנואל בן עמוס,אבנר חזקיהו,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
עמנואל בן עמוס,עודד תאומי,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
עמנואל בן עמוס,גדעון זינגר,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
עמנואל בן עמוס,שושנה דואר,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
עמנואל בן עמוס,רות שרון,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
אבנר חזקיהו,עודד תאומי,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
אבנר חזקיהו,גדעון זינגר,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
אבנר חזקיהו,שושנה דואר,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
אבנר חזקיהו,רות שרון,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
עודד תאומי,גדעון זינגר,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
עודד תאומי,שושנה דואר,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
עודד תאומי,רות שרון,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
גדעון זינגר,שושנה דואר,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
גדעון זינגר,רות שרון,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
שושנה דואר,רות שרון,חבורה שכזאת,1962,דרמה,זאב חבצלת,1636341
אריק איינשטיין,נפתלי יבין,ניני (סרט),1962,,שלמה סוריאנו,1705716
אריק איינשטיין,יעקב איינשטיין,ניני (סרט),1962,,שלמה סוריאנו,1705716
נפתלי יבין,יעקב איינשטיין,ניני (סרט),1962,,שלמה סוריאנו,1705716
יפתח ספקטור,שמעון ישראלי,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
יפתח ספקטור,דינה דורון,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
יפתח ספקטור,אהוד בנאי,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
יפתח ספקטור,שייקה לוי,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
יפתח ספקטור,נאוה שאן הרמן,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
יפתח ספקטור,הדרה אזולאי,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
יפתח ספקטור,יצחק ברזילי,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
יפתח ספקטור,יצחק בנימיני,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
יפתח ספקטור,סיניה חמדן,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
שמעון ישראלי,דינה דורון,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
שמעון ישראלי,אהוד בנאי,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
שמעון ישראלי,שייקה לוי,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
שמעון ישראלי,נאוה שאן הרמן,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
שמעון ישראלי,הדרה אזולאי,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
שמעון ישראלי,יצחק ברזילי,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
שמעון ישראלי,יצחק בנימיני,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
שמעון ישראלי,סיניה חמדן,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
דינה דורון,אהוד בנאי,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
דינה דורון,שייקה לוי,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
דינה דורון,נאוה שאן הרמן,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
דינה דורון,הדרה אזולאי,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
דינה דורון,יצחק ברזילי,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
דינה דורון,יצחק בנימיני,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
דינה דורון,סיניה חמדן,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
אהוד בנאי,שייקה לוי,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
אהוד בנאי,נאוה שאן הרמן,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
אהוד בנאי,הדרה אזולאי,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
אהוד בנאי,יצחק ברזילי,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
אהוד בנאי,יצחק בנימיני,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
אהוד בנאי,סיניה חמדן,סיניה (סרט),1962,דרמה,אילן אלדד,1739089
