actor_1,actor_2,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_community,degree_sum,pagerank_sum,label,prediction_score,future_movie,future_year
מוריס כהן,שלומי טפיארו,0,0.0,0.0,180,3,0,29,0.0008154270549707075,1,0.48943057304400156,"השתיקה (סרט, 2022)",2022
אנחל בונני,מוריס כהן,0,0.0,0.0,180,3,0,29,0.0008330573633411077,1,0.4904391261720494,בוטיק פריז,2022
אדיר מילר,שירה נאור,0,0.0,0.0,198,3,1,31,0.0008423678216604444,1,0.49118877475090855,גן קופים,2023
אילנית בן-יעקב,רננה רז,0,0.0,0.0,144,3,1,25,0.000751461074732247,1,0.49153728753996806,עקרה (סרט),2022
אילנית בן-יעקב,מיכאל וייגל,0,0.0,0.0,144,3,1,25,0.000751461074732247,1,0.49153728753996806,עקרה (סרט),2022
אריק משעלי,הרצל טובי,0,0.0,0.0,224,3,0,30,0.0008423263279590803,1,0.493026281094337,ההילולה 2 – החתונה,2025
דניאל סבג,רבקה בכר,0,0.0,0.0,216,3,0,35,0.000989500881182865,1,0.4933626013421597,שבע ברכות (סרט),2023
אלישע בנאי,מאיר סוויסה,0,0.0,0.0,324,3,1,45,0.0013560725039122557,1,0.49389803039925856,אחד בלב,2021
אסי ישראלוף,דוד שאול,1,0.041666666666666664,0.23459420572161058,66,2,0,25,0.0007312858960393544,1,0.49524987729403425,לשחרר את שולי,2021
סמירה סרייה,קוסטה קפלן,0,0.0,0.0,18,4,0,11,0.0003726714423900374,1,0.4979952022893831,חלב (סרט),2024
גל לב,ששון גבאי,3,0.03488372093023256,0.6975653327747194,340,2,0,89,0.002296099051015552,1,0.4987236284746936,"קריוקי (סרט, 2022)",2022
