page_id,movie_title,year
25629,סופר בוי,1998
182149,פעמיים בוסקילה,1998
2016136,צדק מוחלט,1998
185752,קרקס פלשתינה,1998
1758092,קשר עיר,1998
2128530,גופה בחולות,1999
995022,הגרעין הקשה,1999
182447,החברים של יאנה,1999
1980711,המכתב שהגיע בזמן,1999
188033,הספציאליסט,1999
2245143,כאילו כלום לא קרה,1999
64622,מבצע סבתא,1999
2291495,"פרא (סרט, 1999)",1999
189678,צומת וולקן (סרט),1999
607688,צור הדסים,1999
1985575,קדוש (סרט),1999
2480407,שחרר את הנסיכה,1999
2130465,שלום לבן דודי (סרט),1999
2490249,תסתכל לי בעיניים,1999
1987208,אחות זרה,2000
2148754,אספלט צהוב,2000
1781481,אשת כהן (סרט),2000
2045519,בסמה מוצ'ו (סרט),2000
1666208,הבולשת חוקרת,2000
175928,ההסדר,2000
1135085,התור באיבן שדאד 2,2000
103247,כיפור (סרט),2000
185383,משהו טוטאלי,2000
1528906,פצצות בדרך לסוף העולם,2000
857539,רשימת אהבה,2000
855729,Made in Israel,2001
2120747,אינג'יל,2001
2076311,אני פורים (סרט),2001
1591251,אסקימו לימון: החגיגה נמשכת,2001
212710,ג'ירפות (סרט),2001
2073170,הטיול הפנימי,2001
2181616,חמש דקות בהליכה,2001
180932,חתונה מאוחרת,2001
439980,יהלומים וחלודה,2001
185677,כיכר החלומות,2001
554877,מרס תורכי (סרט),2001
1764973,שישה מיליון רסיסים,2001
2174422,שרמן בחורף (סרט),2001
2024493,תומר והשרוטים,2001
1744488,אח שלי הגדול,2002
2238759,בחודש התשיעי,2002
127895,"בית""ר פרובנס",2002
2438386,הערב: הניצול,2002
272967,הר האושר (סרט),2002
1228510,הריקוד האחרון,2002
213506,השיבה מהודו (סרט),2002
709529,השכן של ישו,2002
248941,התיקון,2002
130169,חוכמת הבייגלה (סרט),2002
1643904,חצוצרה בואדי (סרט),2002
2445220,טאהרה (סרט),2002
25789,יוסי וג'אגר,2002
25788,כנפיים שבורות,2002
639088,לילדים שלי,2002
913486,פיתוי (סרט),2002
622899,קדמה (סרט),2002
2388009,שמוליקיפוד (סרט),2002
2130111,שתי דקות מפארדיס,2002
1652166,תמונה קבוצתית עם אישה,2002
2181848,איים בחוף,2003
1159529,איש החשמל,2003
2273040,באמצע הסרט,2003
439983,גן (סרט),2003
157169,האסונות של נינה,2003
1987533,הביוגרפיה של בן,2003
2172498,הדמעות של אמסלם,2003
983956,הדרך לג'נין,2003
186365,ההרוג ה-17,2003
272979,החשוד העיקרי (סרט תיעודי),2003
684766,היה או לא היה,2003
373193,הילדים של ארנה,2003
130162,הכוכבים של שלומי,2003
255545,הללויה (סרט),2003
421101,המנגליסטים,2003
1975050,חיים זה חיים,2003
1664852,חלומו של הנרי,2003
1697659,לא בת 17,2003
2182913,להיות כוכב,2003
2074371,מחסומים,2003
140840,מיס אנטבה,2003
898209,מלחמה אחרת,2003
1767982,מסיבה ביער עם סבא טוביה,2003
64993,מסעות ג'יימס בארץ הקודש,2003
213225,מתנה משמיים (2003),2003
188120,סימה וקנין מכשפה,2003
765683,סיפורי בית קפה,2003
174134,עונג שבת (סרט),2003
1737072,עלילה (סרט),2003
1410456,פגישה עיוורת (סרט),2003
400192,צעד קטן,2003
1610892,רצח ללא מניע,2003
223458,שתיקת הצופרים,2003
2130995,אבנים (סרט),2004
2161564,אהבה קולומביאנית,2004
183260,אור (סרט),2004
892606,את שאהבה נפשי (סרט),2004
1434203,בזמן אמת,2004
2187470,בלאק ג'ק (סרט),2004
100232,האושפיזין,2004
730099,הארץ המובטחת (סרט),2004
213175,הבשורה על פי אלוהים,2004
189951,הכח לשחות,2004
1140548,הכישרון לחיות,2004
140481,הכלה הסורית,2004
339432,ולקחת לך אישה,2004
191552,זהב לבן עבודה שחורה,2004
203349,חתה יסבח סבח,2004
2098408,כספיון (סרט),2004
177834,ללכת על המים,2004
2171822,לנצח עם מיקי ברקוביץ',2004
118124,מדורת השבט (סרט),2004
185675,מטאליק בלוז,2004
1114388,משהו מתוק,2004
1767989,סבא טוביה - סיפורים כיד המלך,2004
103274,סוף העולם שמאלה,2004
2244779,סיפור קיץ,2004
663774,צווארון כחול לבן (סרט),2004
669396,שיחה:האושפיזין,2004
177826,שנת אפס,2004
1218333,תגובה מאוחרת,2004
1394113,אבודים לרגע,2005
185439,אזור חופשי,2005
157514,איזה מקום נפלא,2005
1085957,אלנבי רומאנס,2005
293629,אצלי הכל בסדר (סרט תיעודי),2005
175875,ביקור חולים (סרט),2005
1086528,ברונו מאוהב,2005
123191,ג'נאם ג'נאם,2005
275553,דיסטורשן (סרט),2005
759028,דמיונות,2005
2185497,החשוד האחרון,2005
