Community,Actors,Associated Movies,Associated Movie Share (%),Cross-Community Movies,Top Actors,Dominant Genres,Dominant Directors,Main Activity Period,Average Movie Year,First Movie Year,Last Movie Year
22,27,4,0.46,0,"ירמי קדושי, אבי סויסה, אבי ביטר, בבר יוקו, ליאת בנאי","דרמה (3), מוזיקלי (1)","ימין מסיקה (3), פרוספר מלכה (1)",1990–1999,1998.2,1992,2012
24,25,4,0.46,3,"קיריל ספונוב, אבי קושניר, ימית סול, ישראל ברייט, איילה ורטה","דרמה (2), דרמה קומית (1), קומדיה (1)","גבריאל ביבליוביץ (1), דני ורטה (1), איתן ענר (1), חיים טבקמן (1)",2000–2009,2007.0,2002,2016
25,20,5,0.57,4,"אפרת אביב, אדיב ג'השאן, שמואל וילוז'ני, הישאם סלימאן, אורי אומנותי","דרמה (2), פשע (1)","דני סירקין (2), דינה צבי-ריקליס (1), ארנון צדוק (1), עמיר מנור (1)",2000–2009,2001.2,1994,2009
26,13,2,0.23,1,"אודי פרסי, אסיה נייפלד, אוהד הול, קצינים, ליהק","דרמה (2), מתח (1), פאונד פוטג' (1)","שרון בר-זיו (1), שי שרף (1)",2010–2019,2014.5,2012,2017
27,10,1,0.11,0,"מוקי, יואב קוטנר, נמרוד רשף, חיים שמש, חמי",תיעודי (1),ירון בן נון (1),2000–2009,2009.0,2009,2009
28,10,1,0.11,0,"אביהו רונן, יואל רפל, יהודה באואר, יצחק ארד, אריה ברנע",תיעודי (1),דוד פישר (1),2020–Present,2021.0,2021,2021
29,10,1,0.11,0,"עמית מרדכי, דור גל, עידו נצר, קובי צברי, ירדן ""ג'ורדי"" פלג",תיעודי (1),גל רז (1),2020–Present,2023.0,2023,2023
30,9,1,0.11,0,"ניר שרון, אילה שיפטן, יובל אורנר, ניר קיטרו, רעות פיש",קומדיה (1),רותם ברוכין (1),2010–2019,2015.0,2015,2015
31,8,1,0.11,0,"אלישבע זוז, אנני למפל, גרטה ורטהיימר, האני לוקס, יהודית הספל","תיעודי (1), ספורט (1)",ירון זילברמן (1),2000–2009,2004.0,2004,2004
32,8,1,0.11,0,"סאלי פיליפס, דייוויד ואליאמס, מישל גרינידג', טמזין גרג, טום קאלן","קומדיה (1), דרמה (1)","שרון מימון (1), טל גרניט (1)",2020–Present,2023.0,2023,2023
33,7,1,0.11,0,"מינא קאוואני, סינה פרוואנה, זאר אמיר אבראהימי, גולשיפתה פראהאני, אראש מרנדי",דרמה (1),ערן ריקליס (1),2020–Present,2024.0,2024,2024
37,6,2,0.23,0,"דני יוסטון, הארווי קייטל, פול ג'יאמטי, ג'ון האם, רובין רייט","דרמה (2), ביוגרפי (1), מדע בדיוני (1)","ערן ריקליס (1), ארי פולמן (1), יוני גודמן (1)",2010–2019,2012.0,2011,2013
34,6,1,0.11,0,"אסף פיליפ, צביקה פיליפ, מני פיליפ, לי פיליפ, עודד פיליפ","תיעודי (1), קולנוע חרדי (1)",נעם ראובני ומני פיליפ (1),2000–2009,2007.0,2007,2007
35,6,1,0.11,0,"אמנון פרידמן, אמרי קהן, טל מאירי, נעמה יוריה, עירית גידרון","להט""בי (1)",ליאור שמריז (1),2000–2009,2007.0,2007,2007
36,6,1,0.11,0,"יעקב פרי, אברהם שלום, אבי דיכטר, יובל דיסקין, עמי אילון",תיעודי (1),דרור מורה (1),2010–2019,2012.0,2012,2012
38,5,1,0.11,0,"סקסופון, אנה קרינה ארווס, ג'ימי ביטון, רות גונזלס, דניאל מירנדה",Not available,ויקטור בראון (1),2000–2009,2006.0,2006,2006
39,5,1,0.11,0,"ג'וזף פיינס, מריה פקולניס, ניב מקינטוש, קלי הריסון, קלייר היגינס",דרמה (1),אורי ברבש (1),2000–2009,2008.0,2008,2008
40,5,1,0.11,0,"אנה ווליקובסקי, קטיה קוסוי ופולינה חריטונסקי, עמירם עיני, רומן גרשקוביץ', מיכאל לרנר",קומדיה (1),גנית אורין (1),2010–2019,2014.0,2014,2014
41,5,1,0.11,0,"דוד בן-גוריון, קלינטון ביילי, פולה בן-גוריון, יעל פרלוב, יריב מוזר",תיעודי (1),יריב מוזר (1),2010–2019,2016.0,2016,2016
42,5,1,0.11,0,"מטקו היילו, יוהנס מוסה, מרתה גטאצ'הו, בית לחם אסמאמאווה, וויינשיט בלאצ'ו",דרמה (1),עלמוורק דוידיאן (1),2010–2019,2018.0,2018,2018
43,5,1,0.11,0,"מי-רן מנקס, אסף פרי, ג'סמין גרין, אפרת וינטראוב, צחי סדן",Not available,גודיס שניידר (1),2020–Present,2022.0,2022,2022
44,4,1,0.11,0,"אורי לחמי, עומר זוננשיין, איציק חייקה, יהונדב פרלמן","דרמה (1), להט""בי (1)",חיים אלבום (1),2000–2009,2007.0,2007,2007
45,4,1,0.11,0,"ג'ואל אדג'רטון, בן מנדלסון, ג'פרי ראש, אנתוני לפאליה",דרמה (1),תתיה רוזנטל (1),2000–2009,2008.0,2008,2008
46,4,1,0.11,0,"אנה זק, עידן שקרוקה, שחף כרמל יעקובוביץ', עומר דהן","דרמה (1), הרפתקאות (1)",עודד רז (1),2020–Present,2021.0,2021,2021
47,3,1,0.11,0,"מאיר כהן, משה חזן, אלישע לוי","תיעודי (1), דרמה (1)","רינו צרור (1), דורון צברי (1)",1990–1999,1996.0,1996,1996
48,3,1,0.11,0,"יונתן זרחיה, יובל כרמל, ג'נט כהן",Not available,רפאל בלולו (1),2010–2019,2014.0,2014,2014
49,3,1,0.11,0,"פאדי דעים, נעים ג'ירייס, חאדר אבו סייף",תיעודי (1),ג'ייק וויצנפלד (1),2010–2019,2015.0,2015,2015
50,3,1,0.11,0,"דויד דיאן, נוויד נגהבאן, אשר אברהמי",דרמה (1),יובל דלשד (1),2010–2019,2015.0,2015,2015
51,3,1,0.11,0,"שולה מולאאברש, ספיר סנקהסורני, תהילה ישעיהומולו","דרמה (1), סטודנטים (1)",עלמוורק דוידיאן (1),2010–2019,2016.0,2016,2016
52,3,1,0.11,0,"אריאל הרוש, זאור סדאייב, איציק קורנפיין",תיעודי (1),מאיה זינשטיין (1),2010–2019,2017.0,2017,2017
53,3,1,0.11,0,"גילי בית הלחמי, שיר אברמוב, רוית דור","קצר (1), עלילתי (1)",עטרה פריש (1),2010–2019,2017.0,2017,2017
54,3,1,0.11,0,"אסף גולדשטיין, רום ברנע, אנטוניו פטרין",דרמה (1),חורחה גורביץ' (1),2010–2019,2019.0,2019,2019
55,3,1,0.11,0,"סתיו אלמגור, לאה טוניק, אורי שני",דרמה (1),ירון שני (1),2010–2019,2019.0,2019,2019
56,2,1,0.11,0,"שלמה בר, סמסון קהמקר",תיעודי (1),יוסי אשדות (1),2000–2009,2002.0,2002,2002
57,2,1,0.11,0,"בן יוסיפוביץ', שמחה ברבירו","ילדים (1), הנפשה (1)",דודו שליטא (1),2000–2009,2002.0,2002,2002
58,2,1,0.11,0,"שירז טל, ירון פינק",קומדיה (1),חיים בוזגלו (1),2000–2009,2003.0,2003,2003
59,2,1,0.11,0,"נעם קפלן, סגול 59",דרמה (1),נעם קפלן (1),2000–2009,2004.0,2004,2004
60,2,1,0.11,0,"אוולין קצ'ולין, דרור דהן",דרמה (1),דור פדלון (1),2010–2019,2010.0,2010,2010
61,2,1,0.11,0,"ישראל גודוביץ, מתווך נדל""ן",תיעודי (1),דוד פישר (1),2010–2019,2015.0,2015,2015
62,2,1,0.11,0,"שירות בתי הסוהר, סמר",תיעודי (1),"טלי שמש (1), אסף סודרי (1)",2010–2019,2016.0,2016,2016
63,2,1,0.11,0,"מאיה ארבל, טובה ורובל",Not available,הלל ראטה (1),2010–2019,2017.0,2017,2017
64,2,1,0.11,0,"עידן טוקלומטי-ג'ורנו, טוני טוקלומטי",תיעודי (1),דוד אופק (1),2010–2019,2018.0,2018,2018
65,2,1,0.11,0,"לליב סיון, בר גוטפריד",דרמה (1),ירון שני (1),2010–2019,2018.0,2018,2018
66,2,1,0.11,0,"מאיר גרנר, מיה גרנר",דרמה (1),אורן גרנר (1),2010–2019,2019.0,2019,2019
67,2,1,0.11,0,"ויקטוריה רוסובסקי, לב לוין","דרמה (1), ישראלי (1)",ענת מלץ (1),2020–Present,2023.0,2023,2023
74,1,2,0.23,0,דוד פישר,תיעודי (2),דוד פישר (2),2010–2019,2011.0,2011,2011
68,1,1,0.11,0,עוזי חיטמן,"קלטת וידאו ביתית (1), שירי ילדים (1)",חנן קמינסקי (1),1990–1999,1990.0,1990,1990
69,1,1,0.11,0,דליק ווליניץ,"ילדים (1), הנפשה (1)",נועם משולם (1),1990–1999,1994.0,1994,1994
70,1,1,0.11,0,אדולף אייכמן,תיעודי (1),אייל סיון (1),1990–1999,1999.0,1999,1999
71,1,1,0.11,0,ג'והר אבו לאשין,"תיעודי (1), ביוגרפי (1)",דוקי דרור (1),2000–2009,2002.0,2002,2002
72,1,1,0.11,0,ערן נעים,דרמה (1),"ירון שני (1), סכנדר קובטי (1)",2000–2009,2009.0,2009,2009
